name,description,asset_type,is_loop,duration_sec,resolution,source,source_url,license_type,server_file_path,file_path,file_hash,tags,confidence,needs_human,raw_category,raw_asset_name,raw_type,raw_use_case,raw_source_origin,raw_attribution_required,raw_attribution_text,raw_first_seen,raw_notes,provenance_source_file,provenance_source_id
PM Astronomy B-roll,"Generic deep-space, stars, galaxies - opening monologue cosmology beds",b_roll_loop,true,,,Internal library (ProPresenter),,none_internal,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM Astronomy B-roll,Pre-made: B-roll,"Generic deep-space, stars, galaxies - opening monologue cosmology beds",Internal library (ProPresenter),NO,,Jan,Most frequently reused B-roll across all 5 months. Safe default for any space/cosmology topic.,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Galaxy B-roll (Loop 1),Galaxy / spiral arm visuals,b_roll_loop,true,,,Internal library,,none_internal,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM Galaxy B-roll (Loop 1),Pre-made: B-roll,Galaxy / spiral arm visuals,Internal library,NO,,Jan,Two distinct galaxy loops exist,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Galaxy B-roll (Loop 2),Galaxy / spiral arm visuals (alternate),b_roll_loop,true,,,Internal library,,none_internal,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM Galaxy B-roll (Loop 2),Pre-made: B-roll,Galaxy / spiral arm visuals (alternate),Internal library,NO,,Feb,Two distinct galaxy loops exist,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM ISS B-roll,"Space station, manned spaceflight, orbital science",b_roll_loop,true,,,Internal library,,public_domain,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM ISS B-roll,Pre-made: B-roll,"Space station, manned spaceflight, orbital science",Internal library,NO,,Feb,Likely NASA-sourced (PD),GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Moon B-roll,"Lunar topics, eclipses, Apollo references",b_roll_loop,true,,,Internal library,,none_internal,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM Moon B-roll,Pre-made: B-roll,"Lunar topics, eclipses, Apollo references",Internal library,NO,,Jan,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Black hole B-roll,"Black holes, event horizons, gravitational topics",b_roll_loop,true,,,Internal library,,none_internal,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM Black hole B-roll,Pre-made: B-roll,"Black holes, event horizons, gravitational topics",Internal library,NO,,Mar,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Alien Planet B-roll,"Exoplanets, habitability, astrobiology beds",b_roll_loop,true,,,Internal library,,none_internal,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM Alien Planet B-roll,Pre-made: B-roll,"Exoplanets, habitability, astrobiology beds",Internal library,NO,,Mar,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM NASA B-roll,"Mission control, rockets, NASA-branded imagery",b_roll_loop,true,,,Internal library,,public_domain,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM NASA B-roll,Pre-made: B-roll,"Mission control, rockets, NASA-branded imagery",Internal library,NO,,Apr,NASA material is PD by default,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Planet Earth B-roll,"Earth from space, climate, global topics",b_roll_loop,true,,,Internal library,,none_internal,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM Planet Earth B-roll,Pre-made: B-roll,"Earth from space, climate, global topics",Internal library,NO,,Jan,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Earth's Atmosphere B-roll,"Atmosphere, weather systems, climate beds",b_roll_loop,true,,,Internal library,,none_internal,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM Earth's Atmosphere B-roll,Pre-made: B-roll,"Atmosphere, weather systems, climate beds",Internal library,NO,,Mar,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Fine-tuning B-roll,"Fine-tuning argument, cosmological constants",b_roll_loop,true,,,Internal library,,none_internal,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM Fine-tuning B-roll,Pre-made: B-roll,"Fine-tuning argument, cosmological constants",Internal library,NO,,Feb,Reusable for any teleological discussion,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Nuclear power B-roll,"Nuclear physics, energy, stellar fusion analogs",b_roll_loop,true,,,Internal library,,none_internal,,,,ASTRONOMY & SPACE,high,false,ASTRONOMY & SPACE,PM Nuclear power B-roll,Pre-made: B-roll,"Nuclear physics, energy, stellar fusion analogs",Internal library,NO,,Apr,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM DNA B-roll,"Genetics, molecular biology, design arguments",b_roll_loop,true,,,Internal library,,none_internal,,,,BIOLOGY & LIFE,high,false,BIOLOGY & LIFE,PM DNA B-roll,Pre-made: B-roll,"Genetics, molecular biology, design arguments",Internal library,NO,,Jan,Heavy-rotation asset,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Crispr Genetics B-roll,"Gene editing, biotech, modern genetics news",b_roll_loop,true,,,Internal library,,none_internal,,,,BIOLOGY & LIFE,high,false,BIOLOGY & LIFE,PM Crispr Genetics B-roll,Pre-made: B-roll,"Gene editing, biotech, modern genetics news",Internal library,NO,,Mar,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Neuron B-roll,"Neuroscience, brain topics, consciousness",b_roll_loop,true,,,Internal library,,none_internal,,,,BIOLOGY & LIFE,high,false,BIOLOGY & LIFE,PM Neuron B-roll,Pre-made: B-roll,"Neuroscience, brain topics, consciousness",Internal library,NO,,Feb,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Neurons B-roll,Neuroscience (alternate loop),b_roll_loop,true,,,Internal library,,none_internal,,,,BIOLOGY & LIFE,high,false,BIOLOGY & LIFE,PM Neurons B-roll,Pre-made: B-roll,Neuroscience (alternate loop),Internal library,NO,,Mar,Distinct from PM Neuron,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Brain B-roll,"Brain anatomy, cognition, mind topics",b_roll_loop,true,,,Internal library,,none_internal,,,,BIOLOGY & LIFE,high,false,BIOLOGY & LIFE,PM Brain B-roll,Pre-made: B-roll,"Brain anatomy, cognition, mind topics",Internal library,NO,,Feb,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Bacteria B-roll,"Microbiology, origin of life, microbial topics",b_roll_loop,true,,,Internal library,,none_internal,,,,BIOLOGY & LIFE,high,false,BIOLOGY & LIFE,PM Bacteria B-roll,Pre-made: B-roll,"Microbiology, origin of life, microbial topics",Internal library,NO,,Jan,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Microscope B-roll,"Lab work, scientific method, microbiology beds",b_roll_loop,true,,,Internal library,,none_internal,,,,BIOLOGY & LIFE,high,false,BIOLOGY & LIFE,PM Microscope B-roll,Pre-made: B-roll,"Lab work, scientific method, microbiology beds",Internal library,NO,,Feb,Pairs well with PM Bacteria / DNA,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Fossil B-roll,"Generic fossils, paleontology, age-of-earth topics",b_roll_loop,true,,,Internal library,,none_internal,,,,BIOLOGY & LIFE,high,false,BIOLOGY & LIFE,PM Fossil B-roll,Pre-made: B-roll,"Generic fossils, paleontology, age-of-earth topics",Internal library,NO,,Jan,Most-used paleo asset,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Dino Excavation B-roll,"Dig sites, field paleontology, dinosaur discoveries",b_roll_loop,true,,,Internal library,,none_internal,,,,DINOSAURS & PALEO,high,false,DINOSAURS & PALEO,PM Dino Excavation B-roll,Pre-made: B-roll,"Dig sites, field paleontology, dinosaur discoveries",Internal library,NO,,Feb,,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Alamosaurus B-roll,Specific dinosaur (Alamosaurus),b_roll_loop,true,,,Internal library,,none_internal,,,,DINOSAURS & PALEO,high,false,DINOSAURS & PALEO,PM Alamosaurus B-roll,Pre-made: B-roll,Specific dinosaur (Alamosaurus),Internal library,NO,,Mar,Species-specific,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
PM Apatosaurus B-roll,Specific dinosaur (Apatosaurus),b_roll_loop,true,,,Internal library,,none_internal,,,,DINOSAURS & PALEO,high,false,DINOSAURS & PALEO,PM Apatosaurus B-roll,Pre-made: B-roll,Specific dinosaur (Apatosaurus),Internal library,NO,,Apr,Species-specific,GSR Pre-made Library (Jan-May reference),17SCo5bqAcPEGl5dyWpNI6b3WlET0YbFhfzu-wrdeUZM
