episode_uid,field,value,air_date_source,confidence,needs_human,note
S03E001,air_date,2026-02-03,"2026 GSR Airing Schedule (production-numbered) + YouTube/Fireside publish at consistent +6d lag — confirmed_2src",high,false,"V-DATES: corrects wrong formula date 2026-01-06; AS broadcast 2/3, platform publish 2/9 (+6d)"
S03E002,air_date,2026-02-10,"2026 GSR Airing Schedule + platform +6d lag — confirmed_2src",high,false,"corrects formula date 2026-01-13"
S03E003,air_date,2026-02-17,"2026 GSR Airing Schedule + platform +6d lag — confirmed_2src",high,false,"corrects formula date 2026-01-20"
S03E004,air_date,2026-02-24,"2026 GSR Airing Schedule + Fireside +6d (no YouTube) — confirmed_2src",high,false,"corrects formula date 2026-01-27"
S03E005,air_date,2026-03-10,"2026 GSR Airing Schedule (recency tiebreaker: dupe rows 3/3 & 3/10; later row 3/10 corroborated by Fireside 3/16 at +6d) — confirmed_2src",high,false,"DRAINS overflow flag; 3/3 row is the dupe artifact"
S03E006,air_date,2026-03-17,"2026 GSR Airing Schedule + platform +6d lag — confirmed_2src",high,false,"corrects formula date 2026-02-03"
S03E007,air_date,2026-03-24,"2026 GSR Airing Schedule + platform +6d lag — confirmed_2src",high,false,"corrects formula date 2026-02-10"
S03E008,air_date,2026-03-31,"2026 GSR Airing Schedule + platform +6d lag — confirmed_2src",high,false,"corrects formula date 2026-02-17"
S03E009,air_date,2026-04-07,"2026 GSR Airing Schedule (raw token EP09 -> S03E009 mechanical repair) + platform +6d lag — confirmed_2src",high,false,"corrects formula date 2026-02-24"
S03E010,air_date,2026-04-14,"2026 GSR Airing Schedule (Apr Week2) + platform 4/20 at +6d — confirmed_2src",high,false,"DRAINS overflow flag; formula mis-slotted as Feb Week5"
S03E011,air_date,2026-04-21,"2026 GSR Airing Schedule + platform +6d lag — confirmed_2src",high,false,"corrects formula date 2026-03-03"
S03E016,air_date,2026-05-26,"2026 GSR Airing Schedule single-family proposal (May Week4); prior formula date incorrect; pending platform corroboration",medium,true,"AS-only; not yet corroborated by platform in snapshot"
S03E017,air_date,2026-06-02,"2026 GSR Airing Schedule single-family proposal (Jun Week1); prior formula date incorrect; pending broadcast/platform",medium,true,"AS-only future episode"
S03E018,air_date,2026-06-09,"2026 GSR Airing Schedule single-family proposal (Jun Week2); prior formula date incorrect; pending broadcast/platform",medium,true,"AS-only future episode"
S03E021,air_date,2026-06-30,"2026 GSR Airing Schedule single-family proposal (Jun Week5); prior formula date incorrect; pending broadcast/platform",medium,true,"AS-only future episode; RC start is shoot day not air"
S03E022,air_date,2026-07-07,"2026 GSR Airing Schedule single-family proposal (Jul Week1); prior formula date incorrect; pending broadcast/platform",medium,true,"AS-only future episode"
S03E023,air_date,2026-07-14,"2026 GSR Airing Schedule single-family proposal (Jul Week2); prior formula date incorrect; pending broadcast/platform",medium,true,"AS-only future episode"
S03E024,air_date,2026-07-21,"2026 GSR Airing Schedule single-family proposal (Jul Week3); prior formula date incorrect; pending broadcast/platform",medium,true,"AS-only future episode"
S03E025,air_date,2026-07-28,"2026 GSR Airing Schedule single-family proposal (Jul Week4); CORRECTS D9 which proposed 2026-06-02 (that is E017's date, not E025); pending broadcast/platform",medium,true,"D9 was wrong; AS authoritative says 7/28; stays human (single family, not yet aired)"
