platform,platform_episode_number,platform_title,url,parked_reason
fireside,025,S02 Ep25 | Truth vs. Technology: What Are We Becoming? | Genesis Science Report ,https://gsr.fireside.fm/3,D1 — S02 deferred
fireside,026,"S02 Ep026 | Starlink, Predators, and the Pre Fall World | Genesis Science Report",https://gsr.fireside.fm/4,D1 — S02 deferred
fireside,027,S02 Ep027 | Pipe Organs & Primates: Music vs. Evolution,https://gsr.fireside.fm/5,D1 — S02 deferred
fireside,028,S02 Ep028 | Fossil Clams & Apex Killers: What the Flood Buried,https://gsr.fireside.fm/6,D1 — S02 deferred
fireside,029,S02 Ep029 | Designed to Adapt & Built For A Purpose,https://gsr.fireside.fm/7,D1 — S02 deferred
fireside,030,S02 Ep030 | CRISPR Unleashed: What Could Go Wrong?,https://gsr.fireside.fm/8,D1 — S02 deferred
fireside,031,"S02 Ep031 | Geodes, Geckos & God’s Hidden Wonders",https://gsr.fireside.fm/9,D1 — S02 deferred
fireside,032,S02 Ep032 | Playing God? The Shocking Science Behind Extinct Species Resurrectio,https://gsr.fireside.fm/10,D1 — S02 deferred
fireside,033,S02 Ep033 | Satanic Schools and Space Billionaires? What They’re Not Telling You,https://gsr.fireside.fm/11,D1 — S02 deferred
fireside,034,"S02 Ep034 | Project 2025, Prayer, and Proof of God’s Design",https://gsr.fireside.fm/12,D1 — S02 deferred
fireside,035,S02 Ep035 | Saturn’s New Moons and the Secrets of Resurrection,https://gsr.fireside.fm/13,D1 — S02 deferred
fireside,036,S02 Ep036 | Exposing Evolution’s Dark Past & The Real Story of Human Language,https://gsr.fireside.fm/14,D1 — S02 deferred
fireside,037,S02 Ep037 | DNA Myths Shattered and Climate Fears Examined,https://gsr.fireside.fm/15,D1 — S02 deferred
fireside,038,S02 Ep038 | Quantum Gravity Breakthrough and Gold in Earth’s Core?,https://gsr.fireside.fm/16,D1 — S02 deferred
fireside,039,S02 Ep039 | Exodus Pharaoh Debate + Fossils in the Wrong Places,https://gsr.fireside.fm/17,D1 — S02 deferred
fireside,040,S02 Ep040 | New Cosmic Countown? And Why Satire Still Speaks Truth,https://gsr.fireside.fm/18,D1 — S02 deferred
fireside,041,S02 Ep041 | Surviving Mount St. Helens + Gold Nanotech for Blindness,https://gsr.fireside.fm/19,D1 — S02 deferred
fireside,042,S02 Ep042 | Big Bang Challenged + DNA Experiment Raises Questions,https://gsr.fireside.fm/20,D1 — S02 deferred
fireside,043,S02 Ep043 | Mars “Skull Hill” and the Mystery of Cambrian Life,https://gsr.fireside.fm/21,D1 — S02 deferred
fireside,044,S02 Ep044 | Scopes Trial at 100 and Nuclear Space Travel,https://gsr.fireside.fm/22,D1 — S02 deferred
fireside,045,S02 Ep045 | Raptor Fossils and Solar Flares,https://gsr.fireside.fm/23,D1 — S02 deferred
fireside,046,S02 Ep046 | Climate Change in Classrooms + Black Hole Bounce Theory,https://gsr.fireside.fm/24,D1 — S02 deferred
